City,Population,State,Latitude,Longitude,Cost of Living,min_distance,pop_norm,col_norm,dist_norm,cost_score,prox_score,demand_score,final_score
Adoni,166537,Andhra Pradesh,15.9240905,80.1863809,102.8,0.0,0.0052684364686946,0.0890109890109889,0.0,0.9109890109890112,1.0,0.0052684364686946,0.4848320204321495
Bhusawal,187421,Maharashtra,18.9068356,75.6741579,103.2,0.0,0.0069607019871316,0.0934065934065935,0.0,0.9065934065934064,1.0,0.0069607019871316,0.4847990323122471
Beed,146709,Maharashtra,18.9068356,75.6741579,102.5,0.0,0.0036617403999545,0.0857142857142856,0.0,0.9142857142857144,1.0,0.0036617403999545,0.4846880130571201
Nandurbar,111037,Maharashtra,18.9068356,75.6741579,101.9,0.0,0.0007711784590578,0.0791208791208792,0.0,0.9208791208791208,1.0,0.0007711784590578,0.4845614134053531
Osmanabad,111825,Maharashtra,18.9068356,75.6741579,102.4,0.0,0.0008350314196271,0.0846153846153847,0.0,0.9153846153846152,1.0,0.0008350314196271,0.4834944387867366
Tirupati,374260,Andhra Pradesh,15.9240905,80.1863809,107.3,0.0,0.0221005792711411,0.1384615384615384,0.0,0.8615384615384616,1.0,0.0221005792711411,0.4833579819432628
Nandyal,200516,Andhra Pradesh,15.9240905,80.1863809,104.1,0.0,0.0080218117823784,0.1032967032967031,0.0,0.8967032967032968,1.0,0.0080218117823784,0.4833515652318486
Gondia,132813,Maharashtra,18.9068356,75.6741579,102.9,0.0,0.0025357242323524,0.0901098901098902,0.0,0.9098901098901098,1.0,0.0025357242323524,0.4832458840941982
Barshi,118722,Maharashtra,18.9068356,75.6741579,102.7,0.0,0.0013939068879598,0.087912087912088,0.0,0.912087912087912,1.0,0.0013939068879598,0.4831145358615623
Kakinada,325985,Andhra Pradesh,15.9240905,80.1863809,106.7,0.0,0.0181887751195156,0.1318681318681318,0.0,0.8681318681318682,1.0,0.0181887751195156,0.4827207611861315
Udgir,103550,Maharashtra,18.9068356,75.6741579,102.6,0.0,0.0001644943019741,0.0868131868131867,0.0,0.9131868131868132,1.0,0.0001644943019741,0.4827196097883497
